StndCode,MAHS Categories
AG000,Agricultural
AG101,Agricultural
AG102,Agricultural
AG103,Agricultural
AG104,Agricultural
AG105,Agricultural
AG106,Agricultural
AG107,Agricultural
AG108,Agricultural
AG109,Agricultural
AG110,Agricultural
AG111,Agricultural
AG112,Agricultural
AG113,Agricultural
AG114,Agricultural
AG115,Agricultural
AG116,Agricultural
AG117,Agricultural
AG118,Agricultural
AG121,Agricultural
AG199,Agricultural
CO000,Commercial Office
CO101,Commercial Office - Mixed Use
CO102,Commercial Office - Mixed Use
CO103,Commercial Office
CO104,Commercial Office - 2+ Floors
CO105,Commercial Office
CO106,Commercial Office - 2+ Floors
CO107,Commercial Office
CO108,Commercial Office
CO109,Commercial Office
CO110,Commercial Office
CO111,"Commercial Office - Skyscraper, Highrise"
CO112,Commercial Office
CO113,Commercial Office
CR000,Commercial Retail
CR101,Commercial Retail
CR102,Commercial Retail - 2+ Floors
CR103,Commercial Retail - Mixed Use
CR104,Commercial Retail - Department Store
CR105,Commercial Retail - Department Store
CR106,Commercial Retail - Mall
CR107,"Commercial Retail - Shopping Plaza, Mini-Mall"
CR108,"Commercial Retail - Shopping Plaza, Mini-Mall"
CR109,Commercial Retail
CR110,"Commercial Retail - Vet, Animal Hospital"
CR111,Commercial Retail - Food & Drink
CR112,Commercial Retail - Food & Drink
CR113,Commercial Retail - Food & Drink
CR114,Commercial Retail - Food & Drink
CR115,Commercial Retail - Food & Drink
CR116,"Commercial Retail - Liquor, Convenience Store"
CR117,"Commercial Retail - Liquor, Convenience Store"
CR118,Commercial Retail - Gas and Service Station
CR119,Commercial Retail - Gas and Service Station
CR120,Commercial Retail - Gas and Service Station
CR121,Commercial Retail - Truck Stop
CR122,Commercial Retail
CR123,Commercial Retail
CR124,Commercial Retail
CR125,Commercial Retail
CR126,Commercial Retail
CR127,Commercial Retail
CR128,Commercial Retail
CR129,Commercial Retail
CR130,Commercial Retail
CR131,Commercial Retail
CR132,"Commercial Retail - Hotel, Motel, Resort"
CR133,"Commercial Retail - Hotel, Motel, Resort"
CR134,"Commercial Retail - Hotel, Motel, Resort"
CR135,"Commercial Retail - Hotel, Motel, Resort"
CR136,Commercial Retail
CR137,"Commercial Retail - Park Lot, Garage"
CR138,"Commercial Retail - Park Lot, Garage"
CR139,Commercial Retail
CR140,Commercial Retail
CR141,Commercial Retail
CR142,Commercial Retail
CR143,Commercial Retail
CR144,Commercial Retail
CR145,Commercial Retail
CR146,Commercial Retail
CR147,Commercial Retail
CR148,Commercial Retail - Condomium
CR149,Commercial Retail
CR150,Commercial Retail
CR151,Commercial Retail
IH000,Industrial-Heavy
IH101,Industrial-Heavy - Distribution Warehouse
IH102,Industrial-Heavy
IH103,Industrial-Heavy
IH104,"Industrial-Heavy - Distillery,Brewery, Bottling"
IH105,Industrial-Heavy
IH106,Industrial-Heavy
IH107,Industrial-Heavy
IH108,Industrial-Heavy
IH109,Industrial-Heavy
IH110,Industrial-Heavy
IH111,Industrial-Heavy
IH112,Industrial-Heavy
IH114,Industrial-Heavy
IH115,Industrial-Heavy
IH116,Industrial-Heavy
IH117,Industrial-Heavy
IH118,Industrial-Heavy
IH119,Industrial-Heavy
IH120,Industrial-Heavy
IH121,Industrial-Heavy
IH122,Industrial-Heavy - Dump Site
IH123,Industrial-Heavy
IH124,Industrial-Heavy
IN000,Industrial 
IN101,Industrial 
IN102,Industrial 
IN103,Industrial - Warehouse
IN104,"Industrial - Storage Yard, Open Storage"
IN105,Industrial 
IN106,Industrial 
IN107,Industrial 
IN108,Industrial 
IN109,Industrial 
IN110,Industrial 
IN111,Industrial - Industrial Park
IN112,Industrial 
IN113,Industrial 
IN114,Industrial 
IN115,Industrial 
IN116,Industrial 
IN117,Industrial 
IN118,Industrial 
IN119,Industrial 
RI000,Multi-Family Residential
RI101,Multi-Family Residential - 2 to 4 units
RI102,Multi-Family Residential - 2 to 4 units
RI103,Multi-Family Residential - 2 to 4 units
RI104,Multi-Family Residential - 5+ units
RI105,Multi-Family Residential - 100+ units
RI106,Multi-Family Residential - 5+ units
RI107,Multi-Family Residential - High-Rise
RI108,Multi-Family Residential
RI109,Multi-Family Residential - Mobile Home Park
RI110,Multi-Family Residential
RI112,Multi-Family Residential
RI114,Multi-Family Residential
RR000,Residential  
RR101,Residential  
RR102,Residential  
RR103,Residential - Mobile Home Park
RR104,Residential - Townhouse
RR105,Residential  
RR106,Residential - Condo
RR107,Residential  
RR108,Residential  
RR109,Residential  
RR110,Residential  
RR111,"Residential - Timeshare, Seasonal, Cabin, Vacation Residence"
RR112,Residential  
RR113,Residential  
RR114,Residential  
RR115,Residential  
RR116,Residential  
RR117,Residential - Parking Garage
RR118,Residential  
RR119,Residential  
RR120,Residential  
RR999,Residential  