GEOID,label,Percent Rural
13057090101,Rural,100.0
13057090102,Rural,100.0
13057090103,Rural,100.0
13057090201,Rural,98.22945143
13057090202,Rural,100.0
13057090301,Suburban,19.92839222
13057090302,Rural,100.0
13057090303,Rural,75.6347723
13057090401,Suburban,0.0
13057090402,Rural,75.26601761
13057090503,Rural,87.96051046
13057090504,Rural,62.09232841
13057090505,Rural,73.26962983
13057090506,Rural,98.87251088
13057090507,Rural,100.0
13057090603,Rural,66.80343871
13057090604,Rural,56.54912778
13057090605,Suburban,32.03966422
13057090606,Suburban,0.0
13057090703,Suburban,0.0
13057090704,Suburban,0.0
13057090705,Suburban,0.0
13057090706,Suburban,0.0
13057090707,Suburban,0.0
13057090708,Suburban,0.0
13057090709,Suburban,0.0
13057090710,Suburban,0.0
13057090805,Suburban,22.1281354
13057090806,Suburban,0.0
13057090807,Suburban,0.0
13057090808,Suburban,0.0
13057090809,Rural,70.75079381
13057090810,Rural,69.85965676
13057090905,Suburban,0.0
13057090906,Suburban,0.244946781
13057090907,Suburban,0.0
13057090908,Suburban,0.0
13057090909,Urban,0.0
13057090910,Suburban,0.0
13057090911,Suburban,0.0
13057090912,Suburban,0.0
13057091001,Suburban,0.0
13057091006,Suburban,0.0
13057091007,Suburban,0.0
13057091009,Suburban,0.0
13057091010,Suburban,0.0
13057091011,Suburban,0.0
13057091012,Suburban,0.0
13057091013,Suburban,0.0
13057091014,Suburban,0.0
13057091101,Suburban,0.0
13057091104,Suburban,4.956994196
13057091105,Suburban,0.0
13057091106,Suburban,0.0
13057091107,Suburban,0.0
13057091108,Suburban,0.0
13063040202,Urban,0.0
13063040203,Urban,0.0
13063040204,Suburban,0.0
13063040302,Urban,0.677212503
13063040306,Urban,0.109307587
13063040307,Suburban,0.0
13063040308,Urban,0.381499955
13063040309,Urban,4.191912183
13063040310,Urban,0.0
13063040407,Suburban,0.0
13063040409,Suburban,0.0
13063040410,Suburban,0.832970124
13063040414,Urban,0.0
13063040416,Urban,0.0
13063040417,Urban,0.0
13063040418,Urban,0.0
13063040419,Suburban,0.0
13063040420,Suburban,0.0
13063040421,Suburban,0.0
13063040422,Urban,0.0
13063040423,Urban,0.0
13063040424,Urban,0.0
13063040425,Urban,0.0
13063040426,Suburban,0.0
13063040427,Suburban,0.0
13063040509,Suburban,0.0
13063040510,Urban,0.0
13063040512,Suburban,0.0
13063040513,Suburban,0.0
13063040518,Suburban,0.0
13063040519,Urban,0.0
13063040521,Suburban,0.0
13063040522,Urban,0.283289421
13063040523,Urban,0.0
13063040525,Suburban,0.0
13063040527,Suburban,0.0
13063040528,Urban,0.0
13063040529,Urban,0.0
13063040530,Suburban,0.0
13063040531,Urban,0.0
13063040532,Urban,0.0
13063040533,Suburban,0.0
13063040534,Suburban,0.570745377
13063040535,Suburban,0.0
13063040536,Suburban,0.0
13063040537,Suburban,0.32488243
13063040538,Urban,0.0
13063040606,Rural,72.71099065
13063040609,Suburban,0.0
13063040614,Suburban,0.0
13063040615,Suburban,0.0
13063040617,Suburban,0.0
13063040623,Suburban,0.0
13063040624,Suburban,0.0
13063040625,Suburban,0.0
13063040626,Suburban,10.99664098
13063040627,Suburban,0.0
13063040628,Suburban,0.0
13063040629,Urban,0.0
13063040630,Urban,0.0
13063040631,Suburban,0.0
13063040632,Suburban,0.0
13063040633,Suburban,0.0
13063040634,Urban,0.0
13063040635,Urban,0.0
13063040636,Rural,61.77118761
13063040637,Suburban,0.439035737
13063040638,Suburban,2.645970051
13063040639,Suburban,43.08082636
13063980000,Urban,0.0
13067030104,Urban,0.0
13067030107,Suburban,0.97966326
13067030108,Suburban,0.0
13067030109,Suburban,2.245318277
13067030110,Suburban,0.0
13067030111,Suburban,0.0
13067030112,Urban,0.257921578
13067030113,Suburban,0.0
13067030220,Urban,0.0
13067030233,Suburban,0.0
13067030235,Suburban,0.0
13067030236,Suburban,0.0
13067030240,Suburban,0.0
13067030241,Suburban,0.0
13067030242,Suburban,0.0
13067030243,Suburban,0.0
13067030244,Suburban,0.0
13067030245,Suburban,0.0
13067030246,Urban,0.0
13067030247,Urban,0.0
13067030248,Suburban,0.0
13067030249,Urban,0.0
13067030250,Suburban,0.0
13067030251,Suburban,0.0
13067030252,Suburban,0.0
13067030253,Suburban,0.0
13067030254,Suburban,0.0
13067030255,Suburban,0.0
13067030256,Suburban,0.0
13067030257,Suburban,0.0
13067030258,Urban,0.0
13067030259,Urban,0.0
13067030260,Suburban,0.125273499
13067030261,Suburban,0.0
13067030262,Suburban,0.0
13067030263,Suburban,0.0
13067030264,Urban,0.0
13067030265,Suburban,0.0
13067030266,Suburban,0.0
13067030267,Suburban,0.0
13067030268,Suburban,0.0
13067030269,Suburban,0.0
13067030270,Suburban,0.0
13067030271,Suburban,0.0
13067030272,Urban,1.472631241
13067030273,Suburban,0.0
13067030274,Suburban,0.67344543
13067030275,Urban,0.0
13067030276,Suburban,0.0
13067030277,Suburban,0.0
13067030278,Suburban,0.0
13067030319,Suburban,0.0
13067030322,Suburban,0.0
13067030324,Suburban,2.003411616
13067030326,Suburban,0.0
13067030327,Suburban,0.0
13067030329,Suburban,0.0
13067030331,Suburban,0.0
13067030332,Suburban,0.0
13067030334,Suburban,0.0
13067030335,Suburban,0.186233118
13067030337,Suburban,0.0
13067030340,Suburban,0.0
13067030341,Suburban,0.0
13067030342,Suburban,0.0
13067030343,Suburban,0.617619262
13067030344,Suburban,0.0
13067030345,Urban,0.0
13067030346,Suburban,0.0
13067030347,Urban,0.480082043
13067030348,Suburban,0.0
13067030349,Suburban,0.0
13067030350,Suburban,0.0
13067030351,Suburban,0.0
13067030352,Suburban,0.0
13067030353,Suburban,0.0
13067030354,Suburban,0.0
13067030355,Urban,0.0
13067030356,Suburban,0.0
13067030357,Suburban,0.0
13067030358,Suburban,0.0
13067030359,Suburban,0.0
13067030360,Suburban,0.122220622
13067030361,Suburban,0.0
13067030362,Suburban,0.0
13067030363,Suburban,0.0
13067030364,Suburban,0.0
13067030365,Suburban,0.0
13067030366,Suburban,0.0
13067030367,Suburban,0.0
13067030368,Suburban,0.0
13067030369,Suburban,0.0
13067030370,Suburban,0.0
13067030405,Suburban,0.0
13067030407,Suburban,0.0
13067030408,Suburban,0.0
13067030409,Suburban,0.0
13067030410,Suburban,0.0
13067030411,Urban,0.0
13067030412,Urban,0.0
13067030413,Urban,0.0
13067030414,Urban,0.0
13067030505,Suburban,0.0
13067030506,Suburban,0.0
13067030507,Suburban,0.0
13067030508,Suburban,0.0
13067030509,Suburban,0.0
13067030510,Suburban,0.0
13067030511,Urban,0.0
13067030602,Suburban,0.0
13067030603,Suburban,0.0
13067030604,Urban,0.0
13067030700,Suburban,0.0
13067030800,Suburban,0.0
13067030906,Suburban,0.0
13067030907,Urban,0.0
13067030908,Suburban,0.0
13067030909,Urban,0.0
13067030910,Urban,0.0
13067030911,Urban,0.0
13067030912,Suburban,0.0
13067031001,Urban,0.0
13067031004,Suburban,0.0
13067031005,Suburban,0.0
13067031006,Urban,0.0
13067031007,Suburban,0.0
13067031101,Suburban,0.0
13067031110,Suburban,0.0
13067031111,Suburban,0.0
13067031112,Suburban,0.0
13067031113,Urban,0.0
13067031114,Suburban,0.0
13067031115,Urban,0.0
13067031116,Suburban,0.0
13067031117,Suburban,0.0
13067031118,Suburban,0.0
13067031119,Suburban,0.0
13067031120,Suburban,0.0
13067031121,Suburban,0.0
13067031122,Urban,0.0
13067031207,Urban,0.0
13067031209,Suburban,0.0
13067031212,Suburban,0.0
13067031213,Urban,0.0
13067031214,Urban,0.0
13067031215,Suburban,0.0
13067031216,Urban,0.0
13067031217,Urban,0.0
13067031218,Suburban,0.0
13067031219,Urban,0.0
13067031220,Urban,0.0
13067031221,Suburban,0.0
13067031306,Urban,0.0
13067031308,Suburban,0.0
13067031314,Suburban,0.0
13067031315,Suburban,0.0
13067031316,Suburban,0.0
13067031317,Suburban,0.0
13067031318,Suburban,0.0
13067031319,Suburban,0.0
13067031320,Suburban,0.459142419
13067031321,Suburban,0.0
13067031322,Suburban,1.462910944
13067031323,Suburban,0.0
13067031324,Suburban,0.0
13067031325,Suburban,0.0
13067031409,Suburban,0.0
13067031410,Suburban,0.0
13067031411,Suburban,0.0
13067031412,Suburban,0.0
13067031413,Suburban,0.0
13067031414,Suburban,0.0
13067031415,Urban,0.0
13067031416,Suburban,0.0
13067031417,Urban,0.0
13067031506,Suburban,0.0
13067031507,Suburban,0.0
13067031510,Suburban,0.0
13067031511,Suburban,0.0
13067031512,Suburban,0.0
13067031513,Suburban,0.0
13067031514,Suburban,0.0
13067031515,Suburban,0.0
13067031516,Suburban,0.0
13067031517,Urban,0.0
13067031518,Urban,0.0
13089020100,Urban,0.146289425
13089020200,Urban,0.0
13089020300,Urban,0.0
13089020400,Urban,0.0
13089020500,Urban,0.0
13089020600,Urban,0.0
13089020700,Urban,1.159618701
13089020801,Suburban,0.0
13089020802,Urban,0.0
13089020901,Urban,1.553743427
13089020902,Urban,0.142688739
13089021101,Urban,0.0
13089021103,Suburban,0.118840977
13089021104,Urban,0.0
13089021204,Urban,0.0
13089021208,Urban,0.0
13089021210,Suburban,0.0
13089021211,Suburban,0.0
13089021213,Suburban,0.0
13089021217,Urban,0.0
13089021219,Urban,0.0
13089021220,Urban,0.0
13089021221,Urban,0.0
13089021222,Urban,0.0
13089021223,Urban,0.0
13089021224,Urban,0.0
13089021225,Urban,0.0
13089021226,Urban,0.0
13089021227,Suburban,0.0
13089021228,Suburban,0.0
13089021229,Suburban,0.0
13089021230,Urban,0.0
13089021301,Urban,0.0
13089021305,Urban,0.0
13089021306,Suburban,0.0
13089021307,Urban,0.0
13089021308,Urban,0.0
13089021309,Urban,0.0
13089021310,Suburban,0.0
13089021405,Urban,0.0
13089021409,Urban,0.0
13089021410,Urban,0.0
13089021411,Urban,0.0
13089021412,Urban,0.0
13089021415,Urban,0.24899898
13089021416,Urban,0.0
13089021417,Urban,0.0
13089021418,Urban,0.0
13089021419,Urban,0.0
13089021420,Urban,0.0
13089021421,Urban,0.0
13089021502,Urban,0.91693939
13089021503,Suburban,0.0
13089021505,Urban,0.0
13089021506,Urban,0.0
13089021602,Suburban,0.0
13089021604,Suburban,0.0
13089021606,Urban,0.0
13089021607,Urban,0.0
13089021608,Urban,0.0
13089021609,Suburban,0.0
13089021703,Suburban,0.0
13089021707,Suburban,0.0
13089021708,Urban,0.0
13089021709,Urban,0.0
13089021710,Urban,0.0
13089021711,Urban,0.0
13089021712,Urban,0.0
13089021808,Urban,0.103899921
13089021812,Urban,0.0
13089021813,Urban,0.0
13089021815,Suburban,0.0
13089021816,Urban,0.0
13089021817,Urban,0.148328987
13089021818,Urban,0.0
13089021819,Urban,0.0
13089021820,Urban,0.0
13089021821,Suburban,0.0
13089021822,Suburban,0.0
13089021823,Urban,0.0
13089021824,Urban,0.0
13089021906,Urban,0.0
13089021908,Suburban,0.0
13089021910,Suburban,0.0
13089021911,Urban,0.0
13089021912,Suburban,0.0
13089021913,Urban,0.0
13089021914,Urban,0.0
13089021915,Suburban,0.0
13089021916,Urban,0.0
13089021917,Urban,0.0
13089022001,Urban,0.0
13089022005,Urban,0.0
13089022007,Urban,0.0
13089022010,Urban,0.0
13089022011,Urban,0.0
13089022012,Urban,0.0
13089022013,Urban,0.0
13089022014,Urban,0.0
13089022015,Suburban,0.0
13089022016,Urban,0.0
13089022100,Urban,0.0
13089022203,Urban,0.0
13089022205,Urban,0.0
13089022206,Urban,0.0
13089022302,Urban,0.0
13089022303,Urban,0.0
13089022304,Suburban,0.0
13089022401,Urban,0.0
13089022403,Urban,0.0
13089022404,Urban,0.0
13089022405,Urban,0.0
13089022501,Urban,0.0
13089022502,Urban,0.0
13089022601,Urban,0.0
13089022602,Urban,0.0
13089022700,Urban,0.120650939
13089022800,Urban,0.0
13089022900,Urban,0.0
13089023000,Urban,0.0
13089023101,Urban,0.0
13089023102,Urban,0.0
13089023107,Urban,0.0
13089023108,Urban,0.0
13089023111,Urban,0.0
13089023112,Urban,0.0
13089023113,Urban,0.0
13089023114,Urban,0.0
13089023115,Urban,0.0
13089023209,Suburban,0.0
13089023211,Suburban,0.0
13089023212,Urban,0.0
13089023213,Urban,0.0
13089023214,Suburban,0.0
13089023215,Suburban,0.0
13089023216,Urban,0.0
13089023217,Suburban,0.0
13089023218,Suburban,0.0
13089023219,Suburban,0.0
13089023220,Suburban,0.0
13089023221,Suburban,0.0
13089023222,Suburban,0.0
13089023311,Suburban,0.0
13089023313,Suburban,0.0
13089023315,Suburban,42.21019418
13089023317,Urban,0.0
13089023318,Urban,5.095104134
13089023319,Urban,0.0
13089023320,Urban,0.0
13089023321,Urban,0.0
13089023322,Suburban,0.0
13089023323,Suburban,0.0
13089023324,Suburban,0.0
13089023325,Suburban,0.0
13089023326,Suburban,0.0
13089023327,Suburban,0.0
13089023328,Suburban,0.0
13089023329,Suburban,0.0
13089023330,Urban,0.0
13089023331,Suburban,0.0
13089023332,Suburban,0.0
13089023410,Urban,0.0
13089023411,Urban,0.0
13089023413,Suburban,0.0
13089023422,Urban,0.100178442
13089023424,Suburban,0.0
13089023425,Suburban,0.0
13089023426,Suburban,0.0
13089023427,Suburban,0.0
13089023429,Suburban,0.0
13089023430,Suburban,0.0
13089023431,Urban,0.0
13089023432,Suburban,39.56238715
13089023433,Rural,73.91270487
13089023434,Suburban,40.22355685
13089023435,Urban,0.0
13089023436,Suburban,0.0
13089023437,Suburban,0.0
13089023438,Suburban,0.0
13089023439,Urban,0.0
13089023440,Suburban,0.0
13089023441,Suburban,0.0
13089023442,Urban,0.0
13089023443,Suburban,0.0
13089023444,Urban,0.0
13089023445,Suburban,0.0
13089023446,Urban,0.0
13089023447,Suburban,0.0
13089023448,Urban,0.0
13089023501,Suburban,0.0
13089023504,Urban,0.0
13089023505,Urban,0.0
13089023506,Suburban,0.0
13089023507,Suburban,0.0
13089023601,Urban,0.0
13089023602,Urban,0.0
13089023603,Urban,0.0
13089023701,Urban,0.0
13089023702,Urban,0.0
13089023801,Urban,0.0
13089023802,Urban,0.434290823
13089023803,Suburban,0.0
13089980000,Urban,0.0
13097080104,Suburban,0.0
13097080105,Suburban,41.18340841
13097080106,Suburban,1.354228034
13097080107,Urban,0.0
13097080201,Suburban,0.7049019
13097080203,Suburban,0.0
13097080204,Suburban,0.0
13097080303,Suburban,0.0
13097080304,Suburban,0.0
13097080305,Suburban,8.391960739
13097080306,Suburban,1.131412596
13097080307,Suburban,29.69124317
13097080403,Rural,84.61994632
13097080405,Rural,100.0
13097080406,Rural,100.0
13097080407,Rural,53.34068848
13097080408,Rural,98.21778899
13097080505,Suburban,6.819883957
13097080506,Suburban,48.65077988
13097080507,Rural,90.66839872
13097080508,Suburban,0.0
13097080509,Suburban,0.0
13097080512,Suburban,26.70980127
13097080513,Suburban,0.0
13097080514,Rural,73.22310479
13097080515,Suburban,14.35345706
13097080602,Rural,59.48983031
13097080605,Suburban,0.0
13097080606,Suburban,31.81783608
13097080607,Suburban,0.0
13097080608,Suburban,0.0
13113140102,Suburban,37.66626267
13113140103,Rural,93.93992392
13113140104,Suburban,32.12463928
13113140203,Suburban,44.22272476
13113140204,Rural,84.34138896
13113140206,Suburban,29.30776127
13113140207,Suburban,0.0
13113140209,Suburban,0.0
13113140210,Suburban,0.320842352
13113140303,Suburban,30.07445817
13113140304,Suburban,30.2265167
13113140305,Rural,63.92647662
13113140307,Suburban,13.71404467
13113140308,Suburban,29.45428105
13113140309,Suburban,0.0
13113140403,Suburban,3.036872407
13113140404,Suburban,7.597130516
13113140405,Suburban,38.04406863
13113140406,Suburban,46.27123887
13113140408,Rural,54.79636821
13113140409,Suburban,0.0
13113140410,Suburban,26.53002121
13113140501,Rural,93.49047521
13113140502,Rural,100.0
13117130101,Rural,80.54714136
13117130102,Rural,52.04220769
13117130103,Rural,61.83381117
13117130104,Rural,19.5867775
13117130105,Rural,19.98039578
13117130201,Rural,100.0
13117130202,Suburban,7.050192286
13117130203,Rural,99.92222953
13117130204,Suburban,39.68725383
13117130205,Suburban,19.21151275
13117130301,Rural,5.674272124
13117130302,Suburban,0.0
13117130303,Rural,45.53532886
13117130304,Suburban,0.0
13117130305,Suburban,6.101830168
13117130306,Suburban,0.0
13117130307,Suburban,0.0
13117130406,Suburban,0.0
13117130409,Suburban,3.573568809
13117130410,Suburban,0.301259557
13117130411,Suburban,30.14536884
13117130412,Rural,15.030888
13117130413,Suburban,0.0
13117130414,Suburban,0.0
13117130415,Suburban,0.0
13117130503,Suburban,25.91329614
13117130504,Suburban,0.504937999
13117130505,Suburban,1.15747574
13117130506,Suburban,0.0
13117130507,Suburban,0.0
13117130508,Suburban,0.0
13117130509,Suburban,0.0
13117130511,Suburban,0.0
13117130512,Suburban,0.0
13117130601,Suburban,0.0
13117130602,Suburban,0.0
13117130603,Suburban,0.0
13117130604,Suburban,0.0
13117130605,Suburban,0.0
13117130606,Suburban,0.0
13117130607,Suburban,0.0
13117130608,Suburban,0.0
13117130609,Suburban,0.0
13117130610,Suburban,0.0
13117130611,Suburban,0.0
13117130613,Suburban,0.0
13117130614,Suburban,0.0
13117130615,Suburban,0.0
13121000100,Urban,0.0
